Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Gender,Segment,Addressline,Contact,Email,Postal Code,City,State,Country,Region,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Year
1,ORD-2018-0001,9/6/2018,9/10/2018,Second Class,CUST-2018-0001,Ajiono Saefullah,Male,Home Office,Jl. Dr. Djunjunan No. 8,0823-809570,bfirmansyah@cv.or.id,83863,Semarang,Kepulauan Riau,Indonesia,Central,US,PROD-2018-0001,Furniture,Chairs,Chairs - Ab,102.76,4,0.25,4.36,13.95,Critical,2018
2,ORD-2017-0002,10/22/2017,10/30/2017,Standard Class,CUST-2017-0002,"R.M. Nalar Anggraini, S.Psi",Male,Consumer,Jl. Sadang Serang No. 161,0899-543143,nova40@hotmail.com,81618,Sorong,Papua,Indonesia,South,LATAM,PROD-2017-0002,Furniture,Tables,Tables - Repellat,957.64,6,0.05,131.9,21.15,Low,2017
3,ORD-2020-0003,3/15/2020,3/20/2020,First Class,CUST-2020-0003,"Betania Gunawan, S.H.",Female,Home Office,Jl. Dipenogoro No. 47,0825-496922,opungthamrin@gmail.com,19283,Pangkalpinang,Papua Barat,Indonesia,Central,LATAM,PROD-2020-0003,Technology,Copiers,Copiers - Fugit,581.58,2,0.02,60.97,18.02,High,2020
4,ORD-2017-0004,12/26/2017,12/28/2017,Same Day,CUST-2017-0004,"Malik Puspita, S.H.",Female,Corporate,Jl. BKR No. 64,0891-974628,jessicasihotang@pd.my.id,42388,Tidore Kepulauan,Sulawesi Selatan,Indonesia,South,EMEA,PROD-2017-0004,Office Supplies,Art,Art - Reprehenderit,217.41,5,0.35,31.21,8.21,Medium,2017
5,ORD-2020-0005,6/4/2020,6/8/2020,Second Class,CUST-2020-0005,Gawati Mandala,Female,Corporate,Jl. Gardujati No. 269,0844-771088,mwibowo@perum.int,51462,Ambon,Kepulauan Bangka Belitung,Indonesia,East,LATAM,PROD-2020-0005,Furniture,Tables,Tables - Provident,823.58,6,0.2,43.85,46.09,Low,2020
6,ORD-2017-0006,10/23/2017,10/31/2017,Same Day,CUST-2017-0006,Jono Kurniawan,Female,Consumer,Jl. Soekarno Hatta No. 880,0843-246413,hbudiyanto@yahoo.com,30391,Tegal,Sumatera Barat,Indonesia,East,LATAM,PROD-2017-0006,Technology,Machines,Machines - Atque,898.84,7,0.18,220.62,11.22,Critical,2017
7,ORD-2016-0007,10/22/2016,10/23/2016,First Class,CUST-2016-0007,KH. Budi Mahendra,Male,Home Office,Gg. Ahmad Dahlan No. 6,0830-930555,leowacana@pd.int,31509,Semarang,Kalimantan Timur,Indonesia,West,APAC,PROD-2016-0007,Office Supplies,Envelopes,Envelopes - Ab,599.93,8,0.26,129.97,43.74,High,2016
8,ORD-2016-0008,1/28/2016,2/6/2016,Standard Class,CUST-2016-0008,"Siti Halim, S.H.",Female,Consumer,Gg. Ciumbuleuit No. 3,0847-555884,iprabowo@gmail.com,37631,Surabaya,Sulawesi Selatan,Indonesia,East,US,PROD-2016-0008,Furniture,Bookcases,Bookcases - Libero,972.17,3,0.25,55.85,33.14,Medium,2016
9,ORD-2017-0009,6/14/2017,6/20/2017,Second Class,CUST-2017-0009,Nadia Habibi,Male,Home Office,Gg. Sadang Serang No. 333,0851-612340,suryanajmudin@yahoo.com,31781,Sungai Penuh,Aceh,Indonesia,Central,APAC,PROD-2017-0009,Office Supplies,Art,Art - Consectetur,247.06,4,0.44,39.67,8.85,Critical,2017
10,ORD-2016-0010,12/25/2016,1/3/2017,Second Class,CUST-2016-0010,"Sutan Caturangga Wasita, M.Kom.",Male,Home Office,Gg. Cikutra Barat No. 606,0870-676510,bsuwarno@hotmail.com,23430,Tidore Kepulauan,Maluku Utara,Indonesia,East,LATAM,PROD-2016-0010,Technology,Machines,Machines - Aspernatur,964.72,9,0.38,133.06,37.08,Critical,2016
